Algorithm,Function,Value
SelfOrganizingMigrationAlgorithm,schwefel,12005.889563465447
SelfOrganizingMigrationAlgorithm,rosenbrock,82023.03150156069
SelfOrganizingMigrationAlgorithm,rastrigin,155.20037620239532
SelfOrganizingMigrationAlgorithm,griewank,1.3610218723720542
SelfOrganizingMigrationAlgorithm,levy,19.981559827038026
SelfOrganizingMigrationAlgorithm,michalewicz,-17.727842710736745
SelfOrganizingMigrationAlgorithm,zakharov,356.1679370838471
SelfOrganizingMigrationAlgorithm,ackley,16.613864904624286
TeachingLearningBasedOptimization,sphere,0.6672002456857035
TeachingLearningBasedOptimization,schwefel,12089.770363706726
TeachingLearningBasedOptimization,rosenbrock,915.0511831346499
TeachingLearningBasedOptimization,rastrigin,211.06626826831828
TeachingLearningBasedOptimization,griewank,1.034193818601483
TeachingLearningBasedOptimization,levy,2.6056909278104374
TeachingLearningBasedOptimization,michalewicz,-9.040074484010209
TeachingLearningBasedOptimization,zakharov,461.4838649994293
TeachingLearningBasedOptimization,ackley,5.84194268575169

DifferentialEvolution,sphere,50.55521241872794
DifferentialEvolution,schwefel,11928.540101308234
DifferentialEvolution,rosenbrock,368704.7100281016
DifferentialEvolution,rastrigin,312.986580563104
DifferentialEvolution,griewank,2.0549566545127664
DifferentialEvolution,levy,106.98414653570968
DifferentialEvolution,michalewicz,-8.202420898441401
DifferentialEvolution,zakharov,1133.860897274062
DifferentialEvolution,ackley,18.13277353696059
FireflyAlgorithm,sphere,168.13845635459262
FireflyAlgorithm,schwefel,12410.361486119686
FireflyAlgorithm,rosenbrock,3241641.681927999
FireflyAlgorithm,rastrigin,401.86259936585463
FireflyAlgorithm,griewank,4.546455779351908
FireflyAlgorithm,levy,181.74764290527642
FireflyAlgorithm,michalewicz,-8.086494518748829
FireflyAlgorithm,zakharov,881.5611728367085
FireflyAlgorithm,ackley,20.7498741462686
ParticleSwarmOptimization,sphere,2.5351401312019597
ParticleSwarmOptimization,schwefel,11743.66501652256
ParticleSwarmOptimization,rosenbrock,3171.9140618078495
ParticleSwarmOptimization,rastrigin,186.22050955767932
ParticleSwarmOptimization,griewank,1.053270906722425
ParticleSwarmOptimization,levy,16.72271012866041
ParticleSwarmOptimization,michalewicz,-9.477863031371271
ParticleSwarmOptimization,zakharov,627.388720463496
ParticleSwarmOptimization,ackley,12.15946253208071
SelfOrganizingMigrationAlgorithm,sphere,20.977093383892903
SelfOrganizingMigrationAlgorithm,schwefel,12024.136576336621
SelfOrganizingMigrationAlgorithm,rosenbrock,104980.93943166368
SelfOrganizingMigrationAlgorithm,rastrigin,143.25841089403
SelfOrganizingMigrationAlgorithm,griewank,1.434262929482388
SelfOrganizingMigrationAlgorithm,levy,20.308896520826046
SelfOrganizingMigrationAlgorithm,michalewicz,-16.889127660008292
SelfOrganizingMigrationAlgorithm,zakharov,442.42446729351786
SelfOrganizingMigrationAlgorithm,ackley,14.678933512986818
TeachingLearningBasedOptimization,sphere,1.0860791977902822
TeachingLearningBasedOptimization,schwefel,12209.695168912916
TeachingLearningBasedOptimization,rosenbrock,588.7679824969022
TeachingLearningBasedOptimization,rastrigin,253.84130962118905
TeachingLearningBasedOptimization,griewank,1.0271825649765114
TeachingLearningBasedOptimization,levy,3.2024659040871937
TeachingLearningBasedOptimization,michalewicz,-9.705018929876323
TeachingLearningBasedOptimization,zakharov,237.03304591345065
TeachingLearningBasedOptimization,ackley,6.947890777439008

DifferentialEvolution,sphere,55.80747350277754
DifferentialEvolution,schwefel,11904.722911845927
DifferentialEvolution,rosenbrock,342739.84045584936
DifferentialEvolution,rastrigin,318.89564300606156
DifferentialEvolution,griewank,1.922065945899589
DifferentialEvolution,levy,79.4966053274361
DifferentialEvolution,michalewicz,-9.28482580967292
DifferentialEvolution,zakharov,909.8595191951064
DifferentialEvolution,ackley,18.858632514929926
FireflyAlgorithm,sphere,188.64291130315408
FireflyAlgorithm,schwefel,12384.796691721318
FireflyAlgorithm,rosenbrock,3672496.3168977853
FireflyAlgorithm,rastrigin,400.443658585986
FireflyAlgorithm,griewank,5.163867115085015
FireflyAlgorithm,levy,267.2393989429669
FireflyAlgorithm,michalewicz,-7.907883268604681
FireflyAlgorithm,zakharov,885.317655542795
FireflyAlgorithm,ackley,20.66842050314886
ParticleSwarmOptimization,sphere,1.7907911749853755
ParticleSwarmOptimization,schwefel,11915.79584209498
ParticleSwarmOptimization,rosenbrock,2987.2566785224376
ParticleSwarmOptimization,rastrigin,200.84700734393806
ParticleSwarmOptimization,griewank,1.0501122332158752
ParticleSwarmOptimization,levy,11.253844275384209
ParticleSwarmOptimization,michalewicz,-11.117141633474295
ParticleSwarmOptimization,zakharov,695.2049547982217
ParticleSwarmOptimization,ackley,8.505023366463508
SelfOrganizingMigrationAlgorithm,sphere,23.097937946702675
SelfOrganizingMigrationAlgorithm,schwefel,11960.866575985054
SelfOrganizingMigrationAlgorithm,rosenbrock,109654.12321428487
SelfOrganizingMigrationAlgorithm,rastrigin,137.90665635996558
SelfOrganizingMigrationAlgorithm,griewank,1.4907408924647014
SelfOrganizingMigrationAlgorithm,levy,24.74825146545679
SelfOrganizingMigrationAlgorithm,michalewicz,-18.92515733687335
SelfOrganizingMigrationAlgorithm,zakharov,340.85459784134724
SelfOrganizingMigrationAlgorithm,ackley,13.665936042568964
TeachingLearningBasedOptimization,sphere,1.5298073559559962
TeachingLearningBasedOptimization,schwefel,12154.208916877336
TeachingLearningBasedOptimization,rosenbrock,357.4413088004353
TeachingLearningBasedOptimization,rastrigin,241.569577104554
TeachingLearningBasedOptimization,griewank,1.0073564357899538
TeachingLearningBasedOptimization,levy,7.020284428582442
TeachingLearningBasedOptimization,michalewicz,-8.872940988512282
TeachingLearningBasedOptimization,zakharov,208.62057860622997
TeachingLearningBasedOptimization,ackley,6.353840057914493

DifferentialEvolution,sphere,48.33653814614239
DifferentialEvolution,schwefel,11995.406011259534
DifferentialEvolution,rosenbrock,398674.5428207388
DifferentialEvolution,rastrigin,302.418821915834
